City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Katubao,PH,86.0,broken clouds,5.8892,124.8294,IML Ecopark
6,Avarua,CK,78.8,broken clouds,-21.2078,-159.775,Paradise Inn
10,Port Alfred,ZA,73.99,scattered clouds,-33.5906,26.891,The Halyards Hotel
14,Auki,SB,83.32,light rain,-8.7676,160.7034,Auki Motel
15,Faanui,PF,82.45,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
18,Hermanus,ZA,70.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
19,Saint-Pierre,RE,87.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
20,Port Blair,IN,83.57,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
21,Victoria,HK,73.4,clear sky,22.2855,114.1577,Mini Hotel Central
23,Meulaboh,ID,85.12,broken clouds,4.1363,96.1285,Kost Pria
24,Matadi,CD,76.55,overcast clouds,-5.8167,13.45,Hotel Fortune
26,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
27,Kavaratti,IN,81.1,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
30,Hobart,AU,72.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
36,Butaritari,KI,81.61,broken clouds,3.0707,172.7902,Isles Sunset Lodge
39,Yelbarga,IN,82.96,clear sky,15.6333,76.0167,Lic premium point
40,Quelimane,MZ,80.6,broken clouds,-17.8786,36.8883,Hotel Flamingo
42,Cidreira,BR,74.05,light rain,-30.1811,-50.2056,Hotel Castelo
44,Copala,MX,74.19,scattered clouds,16.65,-98.9833,Biol. Fernando Martinez Salgado
45,Rikitea,PF,79.38,scattered clouds,-23.1203,-134.9692,Pension Maro'i
47,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
49,Bredasdorp,ZA,70.0,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
66,Maraba,BR,75.2,light rain,-5.3686,-49.1178,Hotel Del Principe
67,Vao,NC,76.6,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
69,Atuona,PF,79.23,broken clouds,-9.8,-139.0333,Villa Enata
77,Arraial Do Cabo,BR,75.97,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
78,Kloulklubed,PW,86.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
81,Coahuayana,MX,72.46,clear sky,18.7333,-103.6833,Hotel Los Arcos
94,Mahebourg,MU,84.2,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
97,Sao Jose Da Coroa Grande,BR,77.16,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
98,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
102,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
104,Turbat,PK,71.01,clear sky,26.0023,63.044,Mubashar Quarters
108,Souillac,MU,84.2,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
109,Teknaf,BD,80.94,broken clouds,20.8624,92.3058,Forestry Guesthouse
112,New Norfolk,AU,72.0,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
122,Hilo,US,71.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
129,Tura,IN,71.56,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
130,Mount Gambier,AU,73.4,clear sky,-37.8333,140.7667,Commodore on the Park
131,Yang Talat,TH,86.0,clear sky,16.3998,103.3679,โรงแรมกู๊ดวิว
134,Kongolo,CD,72.34,overcast clouds,-5.3833,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
135,Tete,MZ,80.6,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
140,Banda Aceh,ID,84.96,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
141,Acarau,BR,77.79,overcast clouds,-2.8856,-40.12,castelo pizzaria
142,Naukot,PK,78.19,clear sky,24.8587,69.4024,Rolak Sigrat Shop
144,La Orilla,MX,73.83,scattered clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
145,Marawi,PH,84.0,scattered clouds,7.9986,124.2928,Derogongan Residence
147,Ambilobe,MG,84.33,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
